company_name,employee_count,year_founded,website_url,product_category,proprietary_measurement,has_ai,feature_criteria_discover,feature_criteria_target,feature_criteria_publish,feature_criteria_manage,feature_criteria_measure,feature_criteria_report,feature_criteria_optimize,data_criteria_owned,data_criteria_rented,insight_criteria_predictive,insight_criteria_reporting
#Paid,130,2013,www.hashtagpaid.com,Creator Marketing Platform,,No,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes
Agentio,37,2023,https://www.agentio.com/,Creator Marketing Platform,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
Agorapulse,200,2010,www.agorapulse.com,Social Media Suite,,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes
Aspire,320,2014,www.aspire.io,Affiliate Marketing Platform,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Audiense,100,2011,www.audiense.com,Audience Intelligence Platform,"Audience Intelligence, X Marketing",Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Braid AI,10,2023,www.braid.ai,Creator Marketing Platform,,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes
Brandwatch,1000,1999,www.brandwatch.com,Social Analytics,,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
BuzzSumo,2,2013,www.buzzsumo.com,Content Marketing Platform,,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes
Captiv8,200,2015,www.captiv8.io,Content Marketing Platform,,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes
Channel Crawler,11,2023,https://channelcrawler.com/,Creator Discovery Tools,,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No
The Cirqle,10,2015,https://thecirqle.com,Creator Marketing Platform,,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes
CreativeX,120,2015,www.creativex.com,Content Marketing Platform,,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes
CreatorIQ,330,2017,www.creatoriq.com,Creator Marketing Platform,"Social Media Value (SMV), Earned Media Value (EMV)",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Dash Hudson,250,2013,www.dashhudson.com,Social Media Suite,,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes
Element Human,22,2013,https://www.elementhuman.com/,Social Analytics,,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes
Facelift,180,2011,www.facelift-bbt.com,Social Media Suite,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes
Favikon,130,2018,www.favikon.com,Creator Marketing Platform,,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes
Glystn,10,2021,www.glystn.com,Creator Marketing Platform,,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes
Gospel Stats,0,0,https://get.gospelstats.com/,,,No,Yes,No,No,No,Yes,Yes,No,No,Yes,No,Yes
Grin,130,2014,www.grin.co,Creator Marketing Platform,Package OS+,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
HypeAuditor,70,2017,www.hypeauditor.com,Creator Marketing Platform,Audience Quality Score (AQS),No,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes
Impact,2000,2008,https://impact.com,Affiliate Marketing Platform,,No,Yes,No,No,No,Yes,Yes,No,No,Yes,No,Yes
Influencer,800,2015,www.influencer.com,Creator Marketing Platform,,No,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes
Influencer marketing.ai,14,2017,https://influencermarketing.ai,Creator Marketing Platform,,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes
Influencity,30,2014,www.influencity.com,Creator Marketing Platform,,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,No,Yes
Keyhole,15,2009,www.keyhole.co,Creator Marketing Platform,,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes
Kolsquare,64,2024,https://www.kolsquare.com/en,Creator Marketing Platform,,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,No,Yes
Later,800,2014,www.later.com,Social Media Suite,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Lefty,120,2015,https://lefty.io,Creator Marketing Platform,,No,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes
Measure Studio,14,2019,www.measure.studio,Social Analytics,,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes
Meltwater,2500,2001,www.meltwater.com,Creator Marketing Platform,,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Modash,70,2018,www.modash.io,Creator Marketing Platform,,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes
MOTOM,28,2019,https://www.motom.me/,Creator Ecommerce Platform,,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes
Phyllo,80,2021,www.getphyllo.com,Social Data API,,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes
Pixability,210,2010,www.pixability.com,Video Advertising Platform,"GenAI Contextual Segments (GCS), ",Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes
Qoruz,110,2015,www.qoruz.com,Creator Marketing Platform,,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes
Reech,54,2013,https://www.reech.com/en/,Creator Marketing Platform,,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes
Rocketium,100,2015,www.rocketium.com,Creative Management Platform,,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes
Semrush,2000,2008,www.semrush.com,Content Marketing Platform,"Semrush Rank, Authority Score, ",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Siftsy,2,2024,https://getsiftsy.com/,Creator Marketing Platform,,Yes,No,No,No,No,Yes,Yes,No,No,Yes,No,Yes
Skeepers,428,2012,https://skeepers.io,Creator Marketing Platform,,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes
Smartly,900,2013,www.smartly.io,Creative Management Platform,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes
Social Blade,20,2008,www.socialblade.com,Social Analytics,,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Sprout Social,1600,2010,www.sproutsocial.com,Social Media Suite,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
StatSocial,30,2014,www.statsocial.com,Creator Marketing Platform,Personality Insights,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes
Superfiliate,54,2021,https://www.superfiliate.com/,Affiliate Marketing Platform,,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes
ThisThat,50,2017,www.thisthat.com,Creator Marketing Platform,,No,Yes,No,No,No,No,Yes,No,No,Yes,No,Yes
Traackr,100,2009,www.traackr.com,Creator Marketing Platform,Brand Vitality Score (VIT),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Tubebuddy,40,2015,www.tubebuddy.com,Content Marketing Platform,"Channel Reviews, Health Report",Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes
Tubular Labs,100,2012,www.tubularlabs.com,Social Analytics,ContentGraph,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Upfluence,130,2013,www.upfluence.com,Creator Marketing Platform,,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes
vidmob,200,2014,www.vidmob.com,Video Advertising Platform,,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
Vidsy,200,2015,www.vidsy.co,Creative Management Platform,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes
Viewstats,16,2023,www.viewstats.com,Social Analytics,,Yes,Yes,No,No,No,No,Yes,No,No,Yes,No,Yes
Viral Nation,478,2014,https://www.viralnation.com/,Creator Marketing Platform,,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Zefr,240,2009,www.zefr.com,Video Advertising Platform,,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes